countrycode,countryname,population2020,population2021
ABW,Aruba,106585,106537
AFE,Africa Eastern and Southern,685112705,702976832
AFG,Afghanistan,38972230,40099462
AFW,Africa Western and Central,466189102,478185907
AGO,Angola,33428486,34503774
ALB,Albania,2837849,2811666
AND,Andorra,77700,79034
ARB,Arab World,449228296,456520777
ARE,United Arab Emirates,9287289,9365145
ARG,Argentina,45376763,45808747
ARM,Armenia,2805608,2790974
ASM,American Samoa,46189,45035
ATG,Antigua and Barbuda,92664,93219
AUS,Australia,25655289,25688079
AUT,Austria,8916864,8955797
AZE,Azerbaijan,10093121,10137750
BDI,Burundi,12220227,12551213
BEL,Belgium,11538604,11592952
BEN,Benin,12643123,12996895
BFA,Burkina Faso,21522626,22100683
BGD,Bangladesh,167420951,169356251
BGR,Bulgaria,6934015,6877743
BHR,Bahrain,1477469,1463265
BHS,"Bahamas, The",406471,407906
BIH,Bosnia and Herzegovina,3318407,3270943
BLR,Belarus,9379952,9340314
BLZ,Belize,394921,400031
BMU,Bermuda,63893,63867
BOL,Bolivia,11936162,12079472
BRA,Brazil,213196304,214326223
BRB,Barbados,280693,281200
BRN,Brunei Darussalam,441725,445373
BTN,Bhutan,772506,777486
BWA,Botswana,2546402,2588423
CAF,Central African Republic,5343020,5457154
CAN,Canada,38037204,38246108
CEB,Central Europe and the Baltics,102180124,101430997
CHE,Switzerland,8638167,8703405
CHI,Channel Islands,171113,172683
CHL,Chile,19300315,19493184
CHN,China,1411100000,1412360000
CIV,Cote d'Ivoire,26811790,27478249
CMR,Cameroon,26491087,27198628
COD,"Congo, Dem. Rep.",92853164,95894118
COG,"Congo, Rep.",5702174,5835806
COL,Colombia,50930662,51516562
COM,Comoros,806166,821625
CPV,Cabo Verde,582640,587925
CRI,Costa Rica,5123105,5153957
CSS,Caribbean small states,7444768,7481877
CUB,Cuba,11300698,11256372
CUW,Curacao,154947,152369
CYM,Cayman Islands,67311,68136
CYP,Cyprus,1237537,1244188
CZE,Czechia,10697858,10505772
DEU,Germany,83160871,83196078
DJI,Djibouti,1090156,1105557
DMA,Dominica,71995,72412
DNK,Denmark,5831404,5856733
DOM,Dominican Republic,10999664,11117873
DZA,Algeria,43451666,44177969
EAP,East Asia & Pacific (excluding high income),2116424876,2123673456
EAR,Early-demographic dividend,3375134276,3411889059
EAS,East Asia & Pacific,2363940425,2370204347
ECA,Europe & Central Asia (excluding high income),400811771,401575218
ECS,Europe & Central Asia,923103879,923777214
ECU,Ecuador,17588595,17797737
EGY,"Egypt, Arab Rep.",107465134,109262178
EMU,Euro area,342913447,343067846
ERI,Eritrea,3555868,3620312
ESP,Spain,47365655,47415750
EST,Estonia,1329522,1330932
ETH,Ethiopia,117190911,120283026
EUU,European Union,447692315,447199800
FCS,Fragile and conflict affected situations,979418527,1001462452
FIN,Finland,5529543,5541017
FJI,Fiji,920422,924610
FRA,France,67571107,67749632
FRO,Faroe Islands,52415,52889
FSM,"Micronesia, Fed. Sts.",112106,113131
GAB,Gabon,2292573,2341179
GBR,United Kingdom,67081000,67326569
GEO,Georgia,3722716,3708610
GHA,Ghana,32180401,32833031
GIB,Gibraltar,32709,32669
GIN,Guinea,13205153,13531906
GMB,"Gambia, The",2573995,2639916
GNB,Guinea-Bissau,2015828,2060721
GNQ,Equatorial Guinea,1596049,1634466
GRC,Greece,10698599,10641221
GRD,Grenada,123663,124610
GRL,Greenland,56367,56653
GTM,Guatemala,16858333,17109746
GUM,Guam,169231,170534
GUY,Guyana,797202,804567
HIC,High income,1240900955,1240629858
HKG,"Hong Kong SAR, China",7481000,7413100
HND,Honduras,10121763,10278345
HPC,Heavily indebted poor countries (HIPC),838066650,861156745
HRV,Croatia,4047680,3899000
HTI,Haiti,11306801,11447569
HUN,Hungary,9750149,9709891
IBD,IBRD only,4889761166,4917520297
IBT,IDA & IBRD total,6628067973,6695397735
IDA,IDA total,1738306807,1777877438
IDB,IDA blend,582637127,595016031
IDN,Indonesia,271857970,273753191
IDX,IDA only,1155669680,1182861407
IMN,Isle of Man,84046,84263
IND,India,1396387127,1407563842
IRL,Ireland,4985382,5033165
IRN,"Iran, Islamic Rep.",87290193,87923432
IRQ,Iraq,42556984,43533592
ISL,Iceland,366463,372520
ISR,Israel,9215100,9364000
ITA,Italy,59438851,59109668
JAM,Jamaica,2820436,2827695
JOR,Jordan,10928721,11148278
JPN,Japan,126261000,125681593
KAZ,Kazakhstan,18755666,19000988
KEN,Kenya,51985780,53005614
KGZ,Kyrgyz Republic,6579900,6691800
KHM,Cambodia,16396860,16589023
KIR,Kiribati,126463,128874
KNA,St. Kitts and Nevis,47642,47606
KOR,"Korea, Rep.",51836239,51744876
KWT,Kuwait,4360444,4250114
LAC,Latin America & Caribbean (excluding high income),588808380,593308001
LAO,Lao PDR,7319399,7425057
LBN,Lebanon,5662923,5592631
LBR,Liberia,5087584,5193416
LBY,Libya,6653942,6735277
LCA,St. Lucia,179237,179651
LCN,Latin America & Caribbean,650534967,654981699
LDC,Least developed countries: UN classification,1073743450,1099568566
LIC,Low income,699186538,718255072
LIE,Liechtenstein,38756,39039
LKA,Sri Lanka,21919000,22156000
LMC,Lower middle income,3357118135,3398187527
LMY,Low & middle income,6551590116,6619578961
LSO,Lesotho,2254100,2281454
LTE,Late-demographic dividend,2317277311,2321862159
LTU,Lithuania,2794885,2800839
LUX,Luxembourg,630419,640064
LVA,Latvia,1900449,1884490
MAC,"Macao SAR, China",676283,686607
MAF,St. Martin (French part),32553,31948
MAR,Morocco,36688772,37076584
MCO,Monaco,36922,36686
MDA,Moldova,2635130,2615199
MDG,Madagascar,28225177,28915653
MDV,Maldives,514438,521457
MEA,Middle East & North Africa,479966649,486167363
MEX,Mexico,125998302,126705138
MHL,Marshall Islands,43413,42050
MIC,Middle income,5852403578,5901323889
MKD,North Macedonia,2072531,2065092
MLI,Mali,21224040,21904983
MLT,Malta,515332,518536
MMR,Myanmar,53423198,53798084
MNA,Middle East & North Africa (excluding high income),411810124,418047201
MNE,Montenegro,621306,619211
MNG,Mongolia,3294335,3347782
MNP,Northern Mariana Islands,49587,49481
MOZ,Mozambique,31178239,32077072
MRT,Mauritania,4498604,4614974
MUS,Mauritius,1265740,1266060
MWI,Malawi,19377061,19889742
MYS,Malaysia,33199993,33573874
NAC,North America,369602177,370203720
NAM,Namibia,2489098,2530151
NCL,New Caledonia,271130,271030
NER,Niger,24333639,25252722
NGA,Nigeria,208327405,213401323
NIC,Nicaragua,6755895,6850540
NLD,Netherlands,17441500,17533044
NOR,Norway,5379475,5408320
NPL,Nepal,29348627,30034989
NRU,Nauru,12315,12511
NZL,New Zealand,5090200,5122600
OED,OECD members,1370241530,1372736513
OMN,Oman,4543399,4520471
OSS,Other small states,32381190,32708003
PAK,Pakistan,227196741,231402117
PAN,Panama,4294396,4351267
PER,Peru,33304756,33715471
PHL,Philippines,112190977,113880328
PLW,Palau,17972,18024
PNG,Papua New Guinea,9749640,9949437
POL,Poland,37899070,37747124
PRE,Pre-demographic dividend,984213438,1011043183
PRI,Puerto Rico,3281538,3263584
PRK,"Korea, Dem. People's Rep.",25867467,25971909
PRT,Portugal,10297081,10325147
PRY,Paraguay,6618695,6703799
PSE,West Bank and Gaza,4803269,4922749
PSS,Pacific island small states,2566819,2602173
PST,Post-demographic dividend,1117443485,1116796245
PYF,French Polynesia,301920,304032
QAT,Qatar,2760385,2688235
ROU,Romania,19265250,19119880
RUS,Russian Federation,144073139,143449286
RWA,Rwanda,13146362,13461888
SAS,South Asia,1882531620,1901911604
SAU,Saudi Arabia,35997107,35950396
SDN,Sudan,44440486,45657202
SEN,Senegal,16436120,16876720
SGP,Singapore,5685807,5453566
SLB,Solomon Islands,691191,707851
SLE,Sierra Leone,8233970,8420641
SLV,El Salvador,6292731,6314167
SMR,San Marino,34007,33745
SOM,Somalia,16537016,17065581
SRB,Serbia,6899126,6834326
SSA,Sub-Saharan Africa (excluding high income),1151203345,1181063481
SSD,South Sudan,10606227,10748272
SSF,Sub-Saharan Africa,1151301807,1181162739
SST,Small states,42392777,42792053
STP,Sao Tome and Principe,218641,223107
SUR,Suriname,607065,612985
SVK,Slovak Republic,5458827,5447247
SVN,Slovenia,2102419,2108079
SWE,Sweden,10353442,10415811
SWZ,Eswatini,1180655,1192271
SXM,Sint Maarten (Dutch part),42310,42846
SYC,Seychelles,98462,99258
SYR,Syrian Arab Republic,20772595,21324367
TCA,Turks and Caicos Islands,44276,45114
TCD,Chad,16644701,17179740
TEA,East Asia & Pacific (IDA & IBRD countries),2090523535,2097669023
TEC,Europe & Central Asia (IDA & IBRD countries),462023771,462341222
TGO,Togo,8442580,8644829
THA,Thailand,71475664,71601103
TJK,Tajikistan,9543207,9750064
TKM,Turkmenistan,6250438,6341855
TLA,Latin America & the Caribbean (IDA & IBRD countries),634680385,639188695
TLS,Timor-Leste,1299995,1320942
TMN,Middle East & North Africa (IDA & IBRD countries),407006855,413124452
TON,Tonga,105254,106017
TSA,South Asia (IDA & IBRD),1882531620,1901911604
TSS,Sub-Saharan Africa (IDA & IBRD countries),1151301807,1181162739
TTO,Trinidad and Tobago,1518147,1525663
TUN,Tunisia,12161723,12262946
TUR,Turkiye,84135428,84775404
TUV,Tuvalu,11069,11204
TZA,Tanzania,61704518,63588334
UGA,Uganda,44404611,45853778
UKR,Ukraine,44132049,43792855
UMC,Upper middle income,2495285443,2503136362
URY,Uruguay,3429086,3426260
USA,United States,331501080,331893745
UZB,Uzbekistan,34232050,34915100
VCT,St. Vincent and the Grenadines,104632,104332
VEN,"Venezuela, RB",28490453,28199867
VGB,British Virgin Islands,30910,31122
VIR,Virgin Islands (U.S.),106290,105870
VNM,Vietnam,96648685,97468029
VUT,Vanuatu,311685,319137
WLD,World,7820981524,7888408686
WSM,Samoa,214929,218764
XKX,Kosovo,1790133,1786038
YEM,"Yemen, Rep.",32284046,32981641
ZAF,South Africa,58801927,59392255
ZMB,Zambia,18927715,19473125
ZWE,Zimbabwe,15669666,15993524
